Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.46,2.8,7.3,3.1,2.5,1.5,14,19,20,11,11,6.9,31,15
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.1,2.9,7,3,3.2,3.2,16,17,18,9,13,7,15,17
Estelí,Hembra,Miniatura,Amarillo,Rojo,Rojo,Amarillo,.5,2.2,5.2,2.4,.9,.9,8,14,13,5,8,4,10,19
Madriz,Macho,Miniatura,Amarillo,Rojo,Rojo,Amarillo,.7,3,5.7,2.4,1.3,1.3,10,14,16,8,11,7,11,20
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.18,2.8,7.7,3.2,2,2.5,16.5,18.5,19,9.5,11,6,14,20
Nueva Segovia,Hembra,Miniatura,Amarillo,Rojo,Rojo,Amarillo,.7,2.2,5.2,2.2,1.2,.9,8,13,15,8,9,5,9,21
Madriz,Hembra,Miniatura,Amarillo,Rojo,Rojo,Verde,.6,2,5.1,2.2,1.2,1.2,10,13,13,8,10,4,9,22
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1,2.8,6.3,2.8,1.9,1.9,11,19,19,9,11,7,13,22
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.9,2.7,7.1,3.1,1,1,3,19,19,10,13,7,13,22
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.9,3,7.2,4,2,2,16,20,21,11,14,8,14,22
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,2.02,3.1,7,4,2,2,18,20,22,13,15,9,18,22
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.66,2.4,6.2,2.6,.5,1,10,13,13,6.5,8.5,5.5,10,23
Estelí,Macho,Miniatura,Amarillo,Rojo,Rojo,Otro,.73,2.3,6.2,2.4,2.5,2.5,11,14,14,6.5,7.5,5,11,23
Nueva Segovia,Macho,Miniatura,Amarillo,Negro,Rojo,Amarillo,1.72,2.8,6.2,2.9,2,1.2,8,15,14,10,8,6,11,23
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.9,2.2,7,3.3,1.3,.9,10,16,18,10,12,6,12,23
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.95,2.6,7.1,3,1.5,1,12,17,17,8,10,6,13,23
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.2,3,7.1,3.6,1.7,1.7,14,20,20,10,14,8,16,23
Estelí,Macho,Miniatura,Amarillo,Rojo,Rojo,Amarillo,.9,2.6,5.8,2.2,3,2,11,14,14.5,7,8,4,12,24
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,2.6,6,3.1,1.2,1.2,13,17,17,8,12,7,12,24
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.5,3,6.5,3.2,2,2,13,17,21,10,13,7,12,24
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,.8,2.5,6.8,3.4,2,2,12,15,17,8,16,6,13,24
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.16,2.7,6.5,3.1,2.1,2.1,11,18,18,8,14,7,14,24
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,3,6.7,3.3,1.9,1,11,20,18,8,13,8,14,24
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.4,2.7,7.6,3.6,1.1,1.1,12,20,21,10,15,7,15,24
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.4,2.8,7.2,3.4,1,1,15,20,22,10,13,6,14,24.5
Estelí,Hembra,Miniatura,Amarillo,Rojo,Rojo,Amarillo,.8,2.3,6,2.3,2,1,10,15,13,6.5,6,4,11,25
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,2.7,7,3.1,1.3,1,8,19,20,11,13,7,11,25
Madriz,Hembra,Enana,Amarillo,Rojo,Rojo,Blanco,.99,2.8,6,2.5,3,.5,14,15,15,7.5,8.5,5,12,25
Estelí,Hembra,Pequeña,Amarillo,Negro,Rojo,Amarillo,.99,2.6,6.7,2.8,2,1,12,15,15,7,10.5,6,12,25
Madriz,Macho,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.5,3,7.3,3,2.5,2,14,20,20,8,12,7,12,25
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.3,3,6.6,3.4,2,2,13,19,19,9,13,7,12,25
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Blanco,.98,3,7,2.9,2.5,2,14,21,17,7,10,4.5,13,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.98,2.4,7.2,2.5,2,1,13,16,16,7,9,6,13,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.9,2.8,6.7,3,1.2,1,14,16,16.5,9,10,6,13,25
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1,3,7,3.5,1.9,1.3,11,18,17,9,11,6,13,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.91,2.6,6.2,3.1,1,1,12,18,18,7,9,5.5,14,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.13,3,6.9,3,1.9,1.9,9,15,16,8,10,6,14,25
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.2,2.8,6.4,3,1.3,1.3,12,20,18,9,11,6,14,25
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Blanco,1.13,3,7.5,4,2.3,1.1,13,18,18,10,11,7,14,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.2,3,7,3.4,1.5,1.5,11,19,19,9,12,7,14,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.4,3,8.4,3.2,1.4,.6,13,17,22,9,14,8,14,25
Estelí,Macho,Pequeña,Amarillo,Negro,Rojo,Amarillo,1.17,2.8,7.1,3.1,2.5,2,14,16.5,17,8,7,5.5,15,25
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,2.5,6.2,3,1.6,1.6,9,16,15,7,10,6,10,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.9,2.4,6.2,3,1.9,1.9,11,17,16,7,12,7,12,26
Estelí,Hembra,Miniatura,Amarillo,Rojo,Rojo,Amarillo,1.09,2.5,6,3.4,1.4,1.4,10,15,16,7,11,6,13,26
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Blanco,1.18,2.9,7,3.2,2,1.1,15,17,18,10,12,6,13,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.3,3,7.2,3.3,1.9,1.9,12,19,19,8,11,7,13,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.2,2.9,8,3.7,1.9,1.9,13,19,19,9,15,9,13,26
Madriz,Macho,Pequeña,Amarillo,Rojo,Rojo,Otro,1.12,3,8.2,3,2,1.5,16,17,20,8.5,11,6.5,14,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.19,2.8,7.9,3.3,2,1.5,16,18,18.5,9,11,6.5,14,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.11,2.9,7.2,3.1,2,1.5,14,17.5,18,9.5,13,6.5,14,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Blanco,1,2.7,6.6,3.1,1.4,1.4,1.2,20,19,9,12,7,14,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,3,7.5,3.2,1.4,1.4,11,21,21,11,14,7,14,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1,3,7.2,2.6,2,2,14,8,19,10,14,8,14,26
Estelí,Hembra,Enana,Amarillo,Rojo,Rojo,Blanco,1.3,2.9,7.1,2.8,1.5,1,16,17,17,7,9,4.5,15,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.2,2.8,7.3,3.6,1.9,1.9,14,20,20,10,15,8,15,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.1,3,8,3.6,2,2,13,21,21,10,15,9,15,26
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.53,3.4,8,3.3,2,2,12,21,21,8,13,7.5,16,26
Madriz,Macho,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.53,3,8.2,3.1,3,2,13,24,19,10,11,4.5,17,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.31,2.6,6.9,3.1,2.2,1.1,15,19,19,9,10,5,12.5,27
Estelí,Hembra,Enana,Amarillo,Rojo,Rojo,Amarillo,1.31,2.8,7.1,2.6,3,1.5,14,17,17,8.5,10.5,5,13,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,.98,3,7,3,2,2,14,19,18,7.5,11,6,13,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.92,2.9,6.3,2.8,2,1.5,11,15,15,8,9.5,5.5,14,27
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.29,3,7.1,3.5,2.5,2,14.5,16.5,21,8.5,10.5,6,14,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.42,2.7,7.7,3.3,2,1,15,20,20,8,11,6,14,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.01,3,6,3.3,1.2,1.2,11,18,16,9,11,7,14,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.2,2.4,6.9,3.9,1.3,1.3,12,20,18,9,13,8,14,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.27,2.8,7.6,2.9,2.5,1.5,15,20,21,8.5,10,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.54,2.7,7.2,3.1,2,1.5,14,17,17,9,10,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.36,2.7,7.2,2.7,2,1,12,19,19,8,10.5,6,15,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.31,2.8,7.5,3.2,2,1.5,16,19,19,8,11,6,15,27
Estelí,Hembra,Mediana,Amarillo,Negro,Rojo,Amarillo,1.6,3,7.6,3.7,1.5,1.5,16,21,19.5,8,14,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.12,2.7,7.3,3.4,2,1.5,17,18,18,8.5,11,6.5,15,27
Estelí,Macho,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.5,2.8,7.7,3.5,2,2,13,22,22,10,14,8,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.22,2.7,6.6,2.5,3,1,15,16,19,9.5,11,5.5,16,27
